,no_components,loss,learning_rate,item_alpha,user_alpha,epochs,precision@20
0,128,warp,0.03274223879910737,0.00011023617952130835,2.3952484345901036e-05,25,0.006090273702182148
1,128,warp,0.020789161584714874,4.076416355299428e-06,0.00012115710356437866,22,0.005972896548044605
2,128,warp,0.03291762744140456,5.656784480732314e-05,2.7082879177531018e-05,19,0.005940884596916183
3,128,warp,0.03490965621038151,1.9267141376584705e-05,3.8943179839325204e-05,14,0.005684788987888812
4,128,warp,0.03501528106557792,8.394758687377799e-06,5.886415723547428e-05,17,0.005676786000106706
5,128,warp,0.021498237072648783,3.3502408312389786e-06,5.688042214826275e-06,20,0.005644774048978286
6,128,warp,0.03333543477494133,6.662942268663894e-06,5.236971293878084e-05,17,0.005607426772661794
7,128,warp,0.01823956089627094,3.6697596859851563e-06,1.535613810141245e-05,14,0.0056074267726617935
8,128,warp,0.021891001327171897,1.2837205905304598e-05,1.1864277375132659e-05,19,0.005567411833751267
9,128,warp,0.03671189517642079,2.314053013363437e-05,4.3562469255467085e-05,14,0.005540735207810916
10,512,warp,0.008234771854337018,3.6146036157022875e-06,1.7157258358225034e-05,20,0.005540735207810916
11,512,warp,0.01146683884244652,0.0001522337950664848,0.00015696709765498167,23,0.005538067545216882
12,512,warp,0.024732752526341058,3.626261817418926e-06,5.3621387617958825e-06,20,0.005474043642960039
13,128,warp,0.02945855266463413,1.5556723472105637e-05,1.6879438174358306e-06,14,0.005426025716267407
14,128,warp,0.017422010862379943,2.6074183927414435e-06,1.4207730518973033e-05,14,0.005407352078109161
15,512,warp,0.010456285709591227,0.00018494465020358128,0.00011238776402745853,23,0.005404684415515126
16,512,warp,0.006112596159614013,3.0775911389418716e-05,1.2890843490278692e-06,23,0.0053726724643867055
17,1024,warp,0.03224149142063138,2.0246535953461467e-05,4.525347946170051e-05,17,0.00527130128581337
18,128,warp,0.01492216800556643,5.253773098698593e-06,7.961552521137804e-06,12,0.0052472923224670545
19,128,warp,0.021342158615323906,1.2795214158819308e-06,4.648903075827045e-06,11,0.005217948033932668
20,128,warp,0.01279397020038134,4.4428950498634534e-05,2.641716498260199e-05,16,0.005140585818705651
21,512,warp,0.008920913880926896,0.0001587652287724129,0.00015225333187013156,19,0.004967187750093369
22,128,warp,0.006029345145225714,7.68993855442821e-06,4.153353877555521e-06,15,0.004727098116630208
23,16,warp,0.028421647397201637,3.418443423792582e-05,3.831682108594224e-05,23,0.004724430454036174
24,512,warp,0.0032647638046375085,3.61967814421196e-05,1.001943514908018e-06,23,0.004716427466254069
25,64,warp,0.008225333745726818,2.5073516851520365e-05,1.7860636594439853e-05,12,0.00463906525102705
26,128,warp,0.04829551437569717,9.280439784521296e-06,5.867831142407294e-05,16,0.004615056287680735
27,32,warp,0.016154448552577777,5.024908458153671e-05,0.00027125438535857785,13,0.004567038360988102
28,16,warp,0.027904446186761512,5.388825326779406e-06,3.2097474841729364e-06,18,0.004545697060235821
29,1024,warp,0.039189328453703945,5.5508317197385516e-05,3.268257484294056e-05,28,0.004401643280157927
30,16,warp,0.010464168214045444,1.2413492571227697e-05,7.936491366688927e-05,18,0.00438830496718775
31,512,warp,0.0016652403235911707,0.006375202678477903,0.0001960259290043388,20,0.004014832204022835
32,128,warp,0.056296761083966015,3.427054139902013e-06,1.8845836202423565e-05,13,0.003681374379768447
33,16,warp,0.005439914600547434,1.571277018963376e-05,3.766632800006827e-05,21,0.0035506589126607273
34,128,warp,0.0034619071366514013,5.300457016209576e-06,0.0013146805125106675,18,0.0035453235874726573
35,128,warp,0.0524085123263167,0.00025861968497218127,1.1065628395938852e-05,10,0.003454623059275463
36,16,warp,0.08127044564309706,0.0001259026904014431,2.8185709177642838e-05,21,0.003409272795176866
37,512,warp,0.0012236847592638149,0.01213715445093963,0.0004945369484813941,22,0.003403937469988796
38,64,warp,0.0023666011575970676,1.0954230454139105e-06,2.206715096622747e-05,12,0.0032732220028810757
39,128,warp,0.06288498590419296,2.157757982809371e-06,2.4762761289978632e-05,18,0.0032358747265645842
40,1024,warp,4.3994185594896865e-05,0.05074302895093859,2.339662344725139e-06,30,0.003091820946486688
41,128,warp,1.9989940027500516e-05,0.0005108010287536751,0.03634662350077849,13,0.003073147308328443
42,128,warp,0.015068501245964252,8.447970289084523e-05,0.001941388361278311,15,0.0030411353572000217
43,64,warp,0.004444273123386525,0.0002922772168690773,0.0216571634741108,30,0.0030358000320119516
