,no_components,loss,learning_rate,item_alpha,user_alpha,epochs,precision@20
0,512,warp,0.014768001504742065,1.0296539775731015e-05,4.736382822928633e-05,18,0.005182847110679467
1,750,warp,0.013094925141546311,2.5565487588728933e-06,9.800313953964898e-06,19,0.004988607074819768
2,750,warp,0.013730570366483915,9.051200057866092e-06,2.6472906169555743e-05,21,0.0049830039968622765
3,1024,warp,0.013217089090751359,1.4761339623785715e-06,5.662836359264262e-06,14,0.0049755332262522885
4,750,warp,0.013176690772593501,1.0517850007301847e-05,1.0446208669418126e-05,22,0.0049531209144223235
5,512,warp,0.010264432026522961,1.035977522165679e-06,0.00011864642497529576,19,0.004928840909939861
6,1024,warp,0.01147378223467035,5.0998490357208386e-06,1.880158676663514e-06,17,0.004900825520152403
7,750,warp,0.00938370021345436,6.236930834118418e-06,1.5100950652539676e-05,20,0.004880280900974936
8,1024,warp,0.016733503156971485,2.203408577962889e-06,5.561385106586456e-06,14,0.004872810130364948
9,750,warp,0.009623291540456744,2.204878104723519e-05,4.453502544119347e-05,22,0.00487094243771245
10,64,warp,0.019636476253847478,4.8439692252740565e-05,0.00016507226567424996,22,0.004869074745059954
11,750,warp,0.02431513052695794,3.746803485158314e-06,5.960162984223906e-05,21,0.004856000896492473
12,750,warp,0.009384008735190038,6.946667389302836e-06,1.1638505061873972e-05,19,0.004854133203839977
13,512,warp,0.010902650239814396,5.192345923449012e-06,7.216259897503181e-05,17,0.004854133203839977
14,512,warp,0.03133200076698371,1.0049057981224293e-06,0.00010608730938169346,19,0.004807440887527549
15,750,warp,0.015036507211049223,1.115819869302712e-05,8.409309773514852e-06,26,0.00476821934182511
16,750,warp,0.0070032431612785,8.106415012262115e-06,2.603016836865716e-05,21,0.004736468566732659
17,512,warp,0.013122051115287133,1.5339350748906444e-06,0.00035185175849113956,13,0.004730865488775167
18,750,warp,0.00855010782654281,2.8454581789179403e-05,1.8816084008156393e-05,20,0.004706585484292705
19,1024,warp,0.0168911229613872,2.6939369052103828e-06,5.485540135484409e-06,10,0.00468417317246274
20,1024,warp,0.012753787461907197,1.0556207589398206e-06,1.0743581510668165e-06,12,0.004663628553285271
21,750,warp,0.007645475694165642,5.607313869832161e-06,1.978362352068911e-05,20,0.004579582383922902
22,1024,warp,0.022941894561114274,4.891297484035916e-06,2.33315307387923e-06,15,0.004364797728885734
23,512,warp,0.006718531123025036,1.4753170801593491e-05,2.073530199813556e-05,15,0.004306899256658325
24,128,warp,0.043082292510659724,4.1058547122877015e-06,1.6883236830701572e-05,24,0.004093982294273654
25,128,warp,0.013514139074894679,0.0005226186426174444,3.133112790949892e-05,21,0.0040865115236636655
26,750,warp,0.005142617403730559,7.4864275183398585e-06,2.9504851364804346e-05,17,0.0040697022897911925
27,750,warp,0.003697265476961269,8.301020545626834e-06,3.314637093967738e-05,20,0.003927757648201411
28,16,warp,0.008886706615435612,1.3182868653901906e-06,1.4166178277681093e-06,30,0.003924022262896418
29,750,warp,0.037378765481803584,2.0566373317296748e-06,3.6018600702407306e-06,25,0.0038978745657614585
30,128,warp,0.0034694361862357493,7.234588815900249e-05,0.0007796865700304991,24,0.0038549176347540256
31,32,warp,0.003767199304553947,3.908581104505461e-05,2.0282927889184004e-06,20,0.0038493145567965333
32,16,warp,0.036203987710073306,0.0001354716447621528,1.8367570094691298e-06,28,0.0037241791490792275
33,16,warp,0.00619154234923674,2.350222777081209e-06,0.00015124645346612284,19,0.0037223114564267305
34,64,warp,0.004656782145661133,0.004682626907063644,0.00010530014871906069,13,0.003699899144596765
35,750,warp,0.0023375668071301306,3.1315665087667666e-05,0.0001931888409854532,15,0.003696163759291771
36,512,warp,0.0027109647485683524,3.689852935002416e-06,0.0015126719948689096,23,0.003662545291546823
37,512,warp,0.04535963396136798,1.2750393389092435e-06,8.322250917673465e-06,22,0.0036139852825818985
38,64,warp,0.00164128255711515,0.00010299660142095621,0.0002856842097946272,27,0.0035784991221844533
39,750,warp,0.0009688936077886047,6.180190846062438e-06,2.2462081169930585e-05,20,0.003516865264652049
