,no_components,loss,learning_rate,item_alpha,user_alpha,epochs,precision@20
0,512,warp,0.01947839524471965,1.0746660979603284e-05,3.020033292685386e-06,20,0.0075338745461458415
1,512,warp,0.011644600276519812,2.6251198077271246e-05,5.909094846409246e-06,19,0.006437939491683344
2,512,warp,0.01128907323162469,1.3281277544252924e-05,4.327324156480785e-06,18,0.006387801403030847
3,512,warp,0.044336959556624825,1.2009920506510713e-05,7.41966338608562e-06,19,0.006356047280217599
4,512,warp,0.04483921423549534,1.190706988161648e-05,7.742093352985962e-06,20,0.0063420503971354444
5,512,warp,0.014927467045520854,5.482766573259392e-05,2.6524244302266666e-06,18,0.006169909626095203
6,512,warp,0.018058539320323388,5.54920477984766e-05,1.0510582386784092e-05,24,0.006159464190959267
7,512,warp,0.02010815219972345,5.6249075255251415e-05,3.7937583878759387e-06,23,0.006032447699706275
8,512,warp,0.01858952619514112,5.5910953203099885e-05,1.2369364063271822e-05,23,0.005988159054729899
9,256,warp,0.012044813783393444,1.4473889880578964e-05,1.3040848616516226e-06,18,0.005889345238343942
10,512,warp,0.016737536764188432,6.14974802611795e-05,2.9826088701724028e-06,18,0.005727440993736916
11,512,warp,0.04115441401824078,1.4632743103586274e-05,2.1916640982885406e-06,19,0.005707594666978636
12,750,warp,0.006037175806105087,1.2098971928314391e-05,1.0258952394471883e-06,26,0.005702580858113388
13,512,warp,0.02532025277933471,5.5812811644486816e-05,4.989645547685205e-06,23,0.005639281521189611
14,512,warp,0.04263519658088649,1.6907820627867847e-05,2.3417929960830187e-06,19,0.005588098889023517
15,1024,warp,0.04911144778199093,4.941019512577295e-06,2.1188984845943354e-05,21,0.005547152783290647
16,512,warp,0.00715677654143354,3.595906348009274e-05,3.455268648000912e-06,23,0.005249666790619166
17,16,warp,0.022570838180195424,1.7901421566533447e-06,5.570609282245249e-06,25,0.005169236940072449
18,512,warp,0.06092701594773782,6.719839667605903e-06,8.839169620276649e-06,15,0.005126410656015109
19,128,warp,0.009857595034205238,4.756788731944837e-06,6.254517609382308e-06,14,0.0045078319872649255
20,512,warp,0.004229018558267654,3.937683137604125e-06,3.3349603197372973e-06,21,0.004312502350222905
21,512,warp,0.007537369065284477,8.767594838215925e-05,3.3512142019509305e-05,29,0.004206167820539068
22,750,warp,0.005917270133222572,6.246308334534724e-06,3.260057196546868e-05,8,0.004006868918145392
23,32,warp,0.015045544685303029,1.9121524887714194e-05,2.8831823306364563e-05,9,0.003987649317495269
24,32,warp,0.00932586332852236,6.0093538919341835e-06,1.1017506788811472e-05,22,0.003904294745110491
25,512,warp,0.02349496712762958,8.056345224125896e-05,1.3822101609000685e-06,24,0.003867944630837432
26,32,warp,0.011141991648136246,1.979748977119485e-05,4.63726266093203e-05,20,0.0037731000798031248
27,512,warp,0.0038252349896261578,0.00014606543108180417,1.1264379039550316e-05,22,0.0037386301438545326
28,32,warp,0.008332220050554753,9.538777390464038e-06,7.3987833385575956e-06,17,0.0036978929468243792
29,750,warp,0.005452889164606455,5.228190319642953e-06,2.6199172153070036e-05,5,0.0035909316910323857
30,512,warp,0.0029322174871521424,9.665310563557396e-06,4.6470426766912114e-05,26,0.003431534350857988
31,1024,warp,0.002505605639059814,1.0592756225229243e-06,0.00011288309812758995,16,0.0031701895637568475
32,512,warp,0.052523514260540284,4.592907992072836e-05,1.4105519397446552e-05,21,0.0028551552400569898
33,64,warp,0.0013709586071194385,8.193762596836388e-06,3.770339314973813e-05,19,0.0027761877504293075
34,512,warp,0.0021569526561631734,4.224521673759189e-05,8.274498396592163e-05,29,0.0027655334065906523
